Date,Temperature,Rainfall,CO2,Time_Index,Rolling_Mean,Year,Month,Anomaly,Advanced_Trend
2023-01-01,25,5,410,0,,2023,1,False,28.356937880129863
2023-02-01,27,10,412,1,,2023,2,False,27.214608492966818
2023-03-01,30,2,415,2,27.333333333333332,2023,3,False,31.420974974600085
2023-04-01,35,0,418,3,30.666666666666668,2023,4,False,35.80563837982345
2023-05-01,38,1,420,4,34.333333333333336,2023,5,False,34.544444376933825
2023-06-01,40,20,422,5,37.666666666666664,2023,6,False,33.818141144814035
2023-07-01,39,50,425,6,39.0,2023,7,False,39.15372147585094
2023-08-01,37,60,427,7,38.666666666666664,2023,8,False,38.15997285834601
2023-09-01,34,30,429,8,36.666666666666664,2023,9,False,35.97757808357437
2023-10-01,32,10,430,9,34.333333333333336,2023,10,False,28.35733897821092
2023-11-01,28,5,432,10,31.333333333333332,2023,11,False,26.917848051731198
2023-12-01,26,2,435,11,28.666666666666668,2023,12,False,31.272795303022576
